,exper,wage
0,16,548
1,9,481
2,16,721
3,10,250
4,16,729
5,8,500
6,9,565
7,9,608
8,10,425
9,11,515
10,13,225
11,8,400
12,7,417
13,13,217
14,9,894
15,4,300
16,16,346
17,9,658
18,10,575
19,14,649
20,8,944
21,10,614
22,11,726
23,10,604
24,14,693
25,10,1400
26,8,300
27,8,1800
28,7,413
29,9,632
30,7,208
31,7,457
32,2,824
33,10,577
34,11,255
35,8,962
36,15,944
37,10,1146
38,15,324
39,7,235
40,16,1000
41,11,481
42,11,624
43,17,650
44,6,344
45,2,380
46,6,353
47,6,659
48,5,621
49,7,440
50,8,738
51,14,280
52,8,434
53,9,705
54,9,425
55,6,571
56,8,538
57,10,740
58,13,673
59,16,769
60,6,592
61,9,213
62,12,1563
63,6,774
64,8,600
65,0,693
66,12,570
67,8,433
68,7,538
69,7,627
70,17,481
71,8,545
72,7,576
73,3,700
74,6,788
75,4,1012
76,6,758
77,9,601
78,6,283
79,6,250
80,8,500
81,14,550
82,7,1143
83,7,810
84,10,313
85,1,731
86,3,625
87,4,588
88,6,375
89,7,817
90,10,865
91,7,350
92,5,202
93,13,505
94,7,816
95,2,625
96,8,769
97,4,500
98,4,619
99,12,650
100,4,769
101,8,512
102,7,625
103,11,1111
104,9,721
105,12,1154
106,10,827
107,12,923
108,5,1076
109,15,625
110,8,460
111,4,900
112,5,682
113,6,411
114,8,625
115,8,1005
116,7,725
117,6,750
118,9,529
119,6,972
120,8,472
121,6,325
122,16,875
123,15,625
124,8,337
125,5,481
126,14,650
127,3,383
128,6,962
129,7,615
130,8,702
131,11,635
132,10,200
133,9,817
134,6,577
135,3,466
136,7,924
137,9,793
138,8,635
139,7,570
140,7,705
141,8,635
142,12,694
143,15,615
144,4,462
145,16,865
146,9,737
147,7,1400
148,13,808
149,4,654
150,7,300
151,8,577
152,2,265
153,7,594
154,3,325
155,2,385
156,1,1000
157,4,465
158,6,440
159,5,625
160,4,285
161,7,650
162,6,808
163,6,500
164,4,831
165,13,500
166,9,693
167,9,1100
168,7,763
169,9,795
170,3,333
171,6,409
172,5,865
173,13,888
174,16,673
175,15,700
176,9,250
177,10,625
178,12,417
179,9,576
180,8,613
181,13,700
182,6,450
183,6,500
184,7,514
185,3,250
186,6,315
187,11,375
188,13,457
189,9,275
190,10,951
191,10,1115
192,3,289
193,3,500
194,8,726
195,5,1265
196,3,613
197,10,545
198,9,278
199,10,1442
200,5,995
201,11,700
202,6,577
203,9,858
204,10,686
205,10,832
206,14,633
207,14,689
208,10,769
209,6,385
210,6,450
211,9,615
212,16,682
213,16,670
214,16,800
215,14,505
216,6,1026
217,4,769
218,16,290
219,9,529
220,7,1154
221,13,549
222,8,475
223,8,450
224,4,875
225,4,200
226,7,300
227,3,462
228,12,385
229,11,1282
230,3,588
231,9,600
232,8,500
233,15,440
234,2,467
235,6,929
236,5,556
237,5,438
238,11,600
239,8,575
240,8,389
241,16,795
242,3,471
243,3,202
244,1,200
245,1,350
246,4,375
247,3,481
248,7,962
249,6,423
250,6,500
251,15,450
252,14,476
253,6,136
254,14,575
255,15,577
256,13,310
257,15,700
258,12,1322
259,18,551
260,7,881
261,7,760
262,14,708
263,8,425
264,8,427
265,2,576
266,17,400
267,13,500
268,10,531
269,6,673
270,5,577
271,2,325
272,12,500
273,7,770
274,8,500
275,6,391
276,16,810
277,19,543
278,19,593
279,2,864
280,12,700
281,7,510
282,15,615
283,9,761
284,15,493
285,2,445
286,7,425
287,2,750
288,2,700
289,6,438
290,11,608
291,5,450
292,17,313
293,20,250
294,13,500
295,8,365
296,8,813
297,7,326
298,11,524
299,9,815
300,10,750
301,1,525
302,14,1125
303,10,625
304,5,715
305,13,591
306,4,404
307,10,675
308,7,444
309,6,488
310,19,695
311,7,700
312,6,325
313,10,556
314,8,325
315,7,668
316,7,2404
317,3,758
318,12,986
319,7,577
320,6,286
321,8,231
322,7,513
323,7,615
324,4,700
325,9,714
326,15,701
327,6,462
328,4,868
329,7,917
330,9,1065
331,11,400
332,9,640
333,5,285
334,4,641
335,13,389
336,7,1010
337,6,817
338,4,975
339,11,750
340,3,463
341,10,1387
342,7,577
343,9,401
344,10,320
345,9,514
346,8,208
347,4,1192
348,6,625
349,11,481
350,8,714
351,10,625
352,12,553
353,16,579
354,4,841
355,9,1923
356,4,806
357,11,344
358,14,962
359,14,600
360,10,837
361,2,625
362,6,563
363,6,1410
364,7,480
365,6,600
366,13,300
367,10,505
368,5,417
369,6,300
370,3,865
371,3,300
372,14,721
373,16,856
374,14,738
375,8,1058
376,14,529
377,17,572
378,14,805
379,14,400
380,5,962
381,3,817
382,9,740
383,6,721
384,0,913
385,4,379
386,6,350
387,16,694
388,14,1014
389,10,1136
390,6,1709
391,8,529
392,9,673
393,5,1010
394,4,846
395,10,710
396,4,820
397,6,447
398,4,500
399,9,1049
400,5,1202
401,15,690
402,6,648
403,11,875
404,2,548
405,15,600
406,13,2244
407,13,1442
408,16,320
409,9,1262
410,6,600
411,9,300
412,2,538
413,15,744
414,15,846
415,7,813
416,10,1000
417,4,561
418,2,285
419,5,437
420,6,325
421,6,580
422,4,588
423,5,801
424,5,312
425,11,250
426,6,500
427,15,750
428,12,343
429,7,250
430,2,700
431,7,400
432,4,555
433,7,699
434,4,1923
435,8,1216
436,7,615
437,5,745
438,2,458
439,1,647
440,7,745
441,3,815
442,9,865
443,10,542
444,8,365
445,8,417
446,5,657
447,5,529
448,6,851
449,7,663
450,2,529
451,4,889
452,5,865
453,2,231
454,14,802
455,8,533
456,4,775
457,4,476
458,11,865
459,6,1014
460,8,641
461,2,333
462,17,556
463,2,528
464,8,635
465,10,500
466,12,1154
467,2,855
468,10,479
469,1,817
470,5,692
471,11,989
472,9,447
473,10,1002
474,10,1241
475,12,921
476,10,571
477,13,525
478,10,1154
479,6,480
480,7,839
481,13,1402
482,8,400
483,15,710
484,4,635
485,7,388
486,8,688
487,16,630
488,13,1044
489,6,577
490,7,500
491,16,781
492,7,577
493,6,525
494,5,385
495,11,625
496,6,625
497,7,475
498,5,659
499,2,425
500,5,524
501,8,625
502,9,1010
503,8,601
504,9,808
505,10,426
506,12,1060
507,8,414
508,12,492
509,9,325
510,10,275
511,7,291
512,7,731
513,6,488
514,4,337
515,9,725
516,6,440
517,5,641
518,10,375
519,7,481
520,9,925
521,8,514
522,15,1065
523,10,638
524,14,739
525,8,493
526,8,650
527,18,308
528,8,629
529,9,409
530,9,600
531,10,745
532,8,625
533,11,549
534,3,326
535,11,258
536,8,875
537,7,639
538,16,667
539,9,504
540,2,313
541,3,1010
542,17,1000
543,6,721
544,9,785
545,16,546
546,7,828
547,7,159
548,11,700
549,9,721
550,6,304
551,3,553
552,6,542
553,2,509
554,2,385
555,14,1442
556,10,879
557,5,1000
558,10,863
559,9,740
560,16,889
561,8,458
562,16,450
563,16,700
564,13,744
565,10,889
566,8,692
567,9,604
568,6,625
569,13,746
570,9,726
571,12,560
572,8,424
573,8,400
574,6,250
575,7,646
576,6,598
577,9,1000
578,10,528
579,8,481
580,15,850
581,10,506
582,11,512
583,9,220
584,2,154
585,13,240
586,10,557
587,6,500
588,4,372
589,9,350
590,8,584
591,7,515
592,11,390
593,3,280
594,15,690
595,8,300
596,4,635
597,7,342
598,4,505
599,5,356
600,15,262
601,16,400
602,10,740
603,16,342
604,8,276
605,9,427
606,7,239
607,5,385
608,11,350
609,11,599
610,10,750
611,11,692
612,16,147
613,8,280
614,8,769
615,13,1010
616,6,517
617,4,400
618,7,375
619,13,596
620,18,350
621,16,417
622,7,338
623,2,481
624,10,500
625,9,305
626,18,450
627,7,769
628,4,721
629,10,1000
630,10,625
631,4,817
632,16,377
633,15,708
634,4,411
635,13,1339
636,16,716
637,16,192
638,10,797
639,12,924
640,5,240
641,6,625
642,10,1025
643,10,503
644,6,462
645,3,476
646,5,500
647,16,1000
648,15,663
649,13,707
650,9,928
651,6,300
652,6,365
653,12,645
654,1,462
655,9,1026
656,6,525
657,5,375
658,10,1538
659,9,923
660,7,568
661,5,600
662,6,721
663,1,1116
664,7,712
665,7,808
666,10,925
667,10,550
668,8,271
669,19,833
670,12,1200
671,13,581
672,11,686
673,8,1000
674,5,537
675,10,690
676,10,500
677,14,750
678,6,913
679,3,600
680,2,577
681,8,601
682,13,577
683,14,677
684,3,473
685,4,350
686,11,620
687,2,378
688,3,243
689,8,750
690,6,441
691,9,688
692,1,501
693,11,400
694,8,981
695,10,649
696,14,625
697,6,707
698,11,1043
699,9,761
700,6,524
701,8,575
702,6,865
703,10,713
704,5,673
705,7,662
706,9,543
707,6,525
708,10,640
709,8,297
710,19,947
711,16,500
712,6,620
713,7,277
714,10,240
715,9,240
716,15,462
717,9,404
718,7,450
719,6,250
720,9,727
721,6,667
722,10,962
723,7,750
724,5,667
725,11,692
726,7,465
727,12,641
728,12,710
729,6,425
730,9,833
731,8,308
732,7,625
733,10,1442
734,3,673
735,5,1346
736,10,400
737,19,518
738,6,456
739,10,409
740,10,559
741,6,230
742,4,1026
743,9,1082
744,4,1202
745,2,329
746,3,481
747,0,673
748,8,1683
749,12,1282
750,6,577
751,3,444
752,6,481
753,6,467
754,19,668
755,6,286
756,9,577
757,9,721
758,7,462
759,4,750
760,6,200
761,9,650
762,4,481
763,7,600
764,6,769
765,4,775
766,2,641
767,13,1055
768,9,676
769,10,691
770,7,962
771,9,400
772,5,673
773,10,1442
774,8,529
775,7,700
776,20,675
777,1,494
778,6,500
779,2,450
780,6,601
781,9,717
782,11,575
783,7,350
784,6,350
785,7,643
786,3,675
787,7,679
788,9,534
789,9,524
790,6,667
791,6,370
792,5,658
793,16,700
794,3,311
795,18,841
796,11,660
797,9,692
798,7,577
799,3,705
800,5,292
801,7,750
802,12,1442
803,11,1202
804,12,1603
805,12,769
806,9,513
807,13,805
808,11,962
809,7,675
810,5,398
811,13,855
812,8,693
813,7,641
814,8,345
815,9,561
816,6,684
817,7,469
818,4,300
819,1,673
820,2,385
821,11,808
822,1,548
823,4,500
824,10,727
825,6,524
826,3,450
827,10,755
828,6,640
829,6,313
830,11,1425
831,10,761
832,8,600
833,10,1111
834,11,763
835,14,650
836,7,1155
837,6,600
838,11,555
839,11,543
840,8,550
841,14,800
842,9,1000
843,13,864
844,13,613
845,2,519
846,11,707
847,7,818
848,9,300
849,8,702
850,12,1322
851,9,380
852,9,400
853,8,498
854,17,663
855,17,600
856,8,1034
857,5,1079
858,0,400
859,11,641
860,14,620
861,7,481
862,11,1058
863,8,545
864,6,786
865,1,485
866,14,722
867,7,695
868,13,549
869,11,793
870,11,1923
871,12,793
872,7,900
873,12,654
874,9,513
875,9,384
876,5,500
877,4,601
878,9,438
879,7,500
880,9,1264
881,6,747
882,7,513
883,15,700
884,7,672
885,7,983
886,10,220
887,9,1202
888,12,667
889,8,838
890,4,444
891,7,543
892,10,505
893,13,797
894,9,357
895,9,500
896,16,962
897,11,350
898,3,313
899,2,117
900,15,726
901,14,536
902,7,532
903,5,428
904,12,1094
905,15,1925
906,8,850
907,6,365
908,4,474
909,7,656
910,7,440
911,5,462
912,6,673
913,6,1150
914,13,800
915,7,460
916,8,334
917,7,702
918,7,524
919,20,667
920,2,641
921,6,800
922,14,577
923,8,423
924,5,874
925,7,640
926,7,1101
927,4,649
928,8,450
929,15,924
930,10,698
931,13,505
932,6,556
933,2,375
934,7,673
935,11,308
936,16,585
937,6,781
938,9,656
939,10,423
940,6,1282
941,7,962
942,12,800
943,15,750
944,5,647
945,11,938
946,5,537
947,3,290
948,11,192
949,6,818
950,6,813
951,11,727
952,6,1125
953,5,615
954,8,403
955,9,705
956,6,337
957,5,833
958,3,192
959,8,730
960,10,542
961,10,823
962,8,438
963,4,735
964,2,427
965,12,340
966,15,481
967,10,817
968,10,500
969,7,543
970,4,447
971,4,217
972,12,275
973,3,352
974,11,721
975,9,1008
976,6,654
977,4,803
978,9,570
979,3,600
980,6,645
981,7,450
982,7,445
983,8,590
984,5,721
985,14,693
986,7,529
987,15,470
988,4,481
989,3,462
990,10,554
991,12,865
992,8,713
993,6,740
994,8,817
995,16,677
996,7,797
997,5,769
998,3,462
999,4,519
1000,7,393
1001,13,800
1002,4,673
1003,11,481
1004,14,911
1005,7,481
1006,16,500
1007,2,385
1008,6,436
1009,7,526
1010,9,913
1011,3,542
1012,9,769
1013,6,226
1014,3,711
1015,10,346
1016,14,787
1017,6,455
1018,2,460
1019,7,277
1020,11,808
1021,7,624
1022,8,697
1023,6,378
1024,6,473
1025,6,425
1026,2,649
1027,4,491
1028,2,924
1029,6,350
1030,6,600
1031,16,429
1032,8,500
1033,9,500
1034,20,350
1035,7,370
1036,2,380
1037,5,250
1038,6,506
1039,9,619
1040,2,381
1041,12,361
1042,10,588
1043,6,350
1044,14,484
1045,17,835
1046,13,535
1047,5,385
1048,8,450
1049,6,491
1050,6,914
1051,8,831
1052,12,434
1053,8,700
1054,10,542
1055,2,231
1056,16,395
1057,7,721
1058,7,1187
1059,7,501
1060,2,336
1061,14,565
1062,11,964
1063,15,1374
1064,10,800
1065,12,609
1066,3,670
1067,8,445
1068,6,485
1069,8,710
1070,14,953
1071,8,480
1072,8,500
1073,4,457
1074,0,721
1075,6,733
1076,15,330
1077,9,410
1078,9,486
1079,7,962
1080,2,359
1081,6,330
1082,10,625
1083,8,495
1084,11,653
1085,9,722
1086,7,704
1087,14,514
1088,13,625
1089,5,622
1090,5,427
1091,11,653
1092,12,643
1093,16,575
1094,15,313
1095,0,664
1096,13,555
1097,0,300
1098,7,642
1099,8,667
1100,4,1320
1101,6,504
1102,3,781
1103,5,817
1104,10,520
1105,9,577
1106,8,375
1107,6,500
1108,6,625
1109,12,684
1110,6,470
1111,8,628
1112,5,525
1113,14,554
1114,3,641
1115,15,513
1116,9,604
1117,14,700
1118,15,606
1119,15,1021
1120,13,714
1121,10,500
1122,10,583
1123,13,706
1124,8,520
1125,7,656
1126,6,684
1127,6,276
1128,15,707
1129,16,788
1130,7,1319
1131,8,404
1132,3,300
1133,8,673
1134,16,722
1135,4,769
1136,8,760
1137,6,434
1138,15,1192
1139,8,462
1140,6,370
1141,12,475
1142,10,435
1143,8,332
1144,9,640
1145,16,505
1146,7,625
1147,13,462
1148,4,817
1149,1,433
1150,5,641
1151,4,225
1152,13,721
1153,4,722
1154,7,817
1155,5,664
1156,4,897
1157,17,793
1158,10,539
1159,10,897
1160,9,721
1161,5,925
1162,10,508
1163,10,929
1164,10,705
1165,12,865
1166,2,520
1167,6,417
1168,5,266
1169,3,625
1170,13,940
1171,3,766
1172,14,801
1173,7,707
1174,12,684
1175,4,417
1176,5,600
1177,4,682
1178,7,918
1179,14,738
1180,10,1167
1181,12,765
1182,8,962
1183,3,300
1184,2,658
1185,8,462
1186,6,721
1187,7,865
1188,7,596
1189,14,909
1190,11,1049
1191,15,455
1192,9,675
1193,6,721
1194,20,600
1195,10,925
1196,10,750
1197,10,563
1198,6,625
1199,13,300
1200,9,1380
1201,5,470
1202,10,788
1203,3,230
1204,11,389
1205,15,315
1206,6,355
1207,12,500
1208,16,650
1209,9,815
1210,7,649
1211,11,435
1212,10,600
1213,7,206
1214,9,481
1215,5,485
1216,5,759
1217,8,995
1218,11,1167
1219,3,314
1220,6,915
1221,7,664
1222,11,783
1223,13,650
1224,12,267
1225,19,355
1226,19,440
1227,13,475
1228,15,726
1229,6,721
1230,16,563
1231,8,600
1232,4,692
1233,7,423
1234,6,786
1235,13,1202
1236,12,577
1237,3,635
1238,9,410
1239,2,370
1240,4,789
1241,1,450
1242,10,1251
1243,8,808
1244,8,308
1245,12,817
1246,8,673
1247,11,524
1248,9,275
1249,5,423
1250,6,641
1251,10,450
1252,8,333
1253,14,913
1254,10,128
1255,5,396
1256,9,475
1257,12,450
1258,2,300
1259,5,462
1260,14,630
1261,15,485
1262,12,549
1263,7,372
1264,16,641
1265,11,519
1266,11,385
1267,7,450
1268,8,315
1269,9,731
1270,14,325
1271,6,616
1272,9,346
1273,9,471
1274,9,300
1275,5,430
1276,10,267
1277,10,230
1278,4,432
1279,8,531
1280,9,1100
1281,10,588
1282,6,841
1283,3,641
1284,14,962
1285,14,921
1286,6,350
1287,2,385
1288,11,618
1289,12,470
1290,9,411
1291,7,400
1292,16,700
1293,6,311
1294,4,243
1295,14,248
1296,13,423
1297,16,600
1298,2,700
1299,6,300
1300,6,691
1301,12,600
1302,12,700
1303,5,275
1304,19,675
1305,5,449
1306,8,635
1307,9,1250
1308,5,962
1309,1,490
1310,6,586
1311,13,750
1312,2,326
1313,5,430
1314,8,571
1315,6,913
1316,10,577
1317,15,433
1318,6,505
1319,10,721
1320,11,962
1321,13,609
1322,7,450
1323,15,625
1324,6,713
1325,6,710
1326,10,913
1327,10,418
1328,10,692
1329,16,260
1330,7,650
1331,5,610
1332,11,726
1333,13,767
1334,9,620
1335,5,721
1336,2,516
1337,7,400
1338,7,808
1339,6,460
1340,9,642
1341,10,519
1342,6,568
1343,2,693
1344,13,978
1345,14,779
1346,7,443
1347,11,692
1348,4,417
1349,13,773
1350,5,400
1351,9,900
1352,9,700
1353,2,485
1354,7,894
1355,5,750
1356,14,1055
1357,10,933
1358,8,568
1359,3,987
1360,2,769
1361,9,648
1362,8,449
1363,9,580
1364,19,550
1365,11,800
1366,6,160
1367,5,462
1368,5,425
1369,18,600
1370,3,866
1371,10,683
1372,9,1115
1373,8,1100
1374,6,286
1375,8,513
1376,7,650
1377,13,1039
1378,8,700
1379,7,315
1380,15,310
1381,10,335
1382,8,518
1383,6,709
1384,7,623
1385,9,298
1386,4,625
1387,7,769
1388,6,459
1389,13,550
1390,9,470
1391,15,396
1392,5,594
1393,6,1039
1394,16,400
1395,8,698
1396,4,713
1397,6,550
1398,7,333
1399,11,1058
1400,13,590
1401,6,633
1402,10,500
1403,8,788
1404,7,832
1405,8,539
1406,4,577
1407,10,808
1408,10,722
1409,8,600
1410,12,452
1411,14,300
1412,8,393
1413,8,200
1414,18,750
1415,4,673
1416,10,989
1417,4,880
1418,7,905
1419,14,250
1420,12,520
1421,9,356
1422,6,278
1423,7,400
1424,12,273
1425,14,500
1426,16,603
1427,7,400
1428,10,475
1429,15,1100
1430,6,337
1431,10,538
1432,7,404
1433,5,757
1434,11,554
1435,7,577
1436,5,432
1437,12,550
1438,2,797
1439,7,450
1440,10,807
1441,5,600
1442,15,933
1443,16,481
1444,11,623
1445,11,328
1446,4,600
1447,7,693
1448,12,923
1449,10,721
1450,7,540
1451,8,459
1452,8,485
1453,7,350
1454,3,200
1455,14,520
1456,7,250
1457,11,504
1458,10,363
1459,16,654
1460,14,425
1461,13,245
1462,8,250
1463,13,879
1464,8,687
1465,15,402
1466,13,428
1467,5,325
1468,4,725
1469,7,780
1470,7,264
1471,14,450
1472,7,346
1473,5,350
1474,5,400
1475,14,980
1476,11,385
1477,5,344
1478,3,563
1479,16,463
1480,10,565
1481,9,638
1482,14,462
1483,8,670
1484,5,404
1485,2,373
1486,6,230
1487,14,558
1488,15,300
1489,9,913
1490,3,558
1491,14,529
1492,5,330
1493,11,375
1494,5,615
1495,7,721
1496,3,529
1497,16,859
1498,7,649
1499,8,238
1500,16,275
1501,6,325
1502,9,357
1503,12,385
1504,4,365
1505,19,800
1506,16,482
1507,6,955
1508,3,462
1509,6,417
1510,9,290
1511,6,240
1512,13,829
1513,14,361
1514,6,598
1515,6,750
1516,3,385
1517,6,620
1518,15,641
1519,4,468
1520,5,385
1521,7,462
1522,9,635
1523,8,400
1524,8,760
1525,8,560
1526,16,1000
1527,11,425
1528,12,411
1529,8,179
1530,8,375
1531,4,1298
1532,9,476
1533,5,775
1534,9,714
1535,12,429
1536,5,435
1537,7,875
1538,13,424
1539,7,375
1540,7,489
1541,3,462
1542,16,340
1543,12,581
1544,9,515
1545,7,1053
1546,12,475
1547,8,1502
1548,12,962
1549,9,230
1550,5,750
1551,5,225
1552,7,331
1553,9,397
